Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
28679830,Shivaji: His Life and Times,Gajanan Bhaskar Mehendale,"Mehendale, Gajanan Bhaskar",,"=""9380875177""","=""""",5,4.66,Param Mitra Publications,Hardcover,,,,2020/12/28,2020/12/28,history,history (#16),read,"Pluses:<br/><br/>- Separates clear objective facts from legends and extrapolations, while mentioning many of the latter.<br/>- Rich in footnotes. Clearly cites primary sources and explains the logic used in resolving seeming contradictions (if any).<br/>- Dates are provided as per Julian calendar as well wherever known. Where the precise date is not known, a broader time period (eg. a month) is given.<br/>- There is appropriate criticism of other historians (of various ages, including shivAjI's contemporaries). Tries to settle a few controversies (birth date, religious policy, aim, influence of holy men etc..). <br/>- Very clear assessment and analysis of shivAjI's policies, personality (appropriately well separated from basic facts).",,,2,,,0,,,,,
30073245,Shivaji His Life & Times,Gajanan Bhaskar Mehendale,"Mehendale, Gajanan Bhaskar",,"=""""","=""""",5,4.66,PARAM MITRA PRAKSHAN,Kindle Edition,977,2016,,,2020/12/28,history,history (#15),read,,,,1,,,0,,,,,
36657481,Higher Algebra,Henry Sinclair Hall,"Hall, Henry Sinclair",Samuel Ratcliffe Knight,"=""""","=""""",5,4.28,MTGIN,Kindle Edition,,,2001,,2018/02/27,math,math (#3),read,,,,1,,,0,,,,,
25048882,My Transportation For Life: Original Writings Of Veer Savarkar,V.D. Savarkar,"Savarkar, V.D.",Veer Savarkar,"=""""","=""""",5,4.39,Abhishek Publications,Kindle Edition,469,2014,1927,2020/10/21,2020/10/22,"history, personalities","history (#14), personalities (#10)",read,"What a man! The changes he wrought in the worst of conditions (cellular jail in Andamans, Ratnagiri)! Mellowing the tyrant Irish jailor, making conditions more humane, stopping and even reversing (Ghar-vApasi-ing) conversions out of hinduism, reforming criminals, clearing away Gandhian shit from peoples' heads! And keeping his life (despite persistent temptation to just give up) and wits till the end. <br/><br/>Do such people still exist today?",,,1,,,0,,,,,
55511254,Essentials of HindutvaVinayak Damodar Savarkar,Vinayak Damodar Savarkar,"Savarkar, Vinayak Damodar",,"=""""","=""""",0,0.0,,Kindle Edition,,2020,,,2020/10/22,to-read,to-read (#13),to-read,,,,0,,,0,,,,,
29423767,Hindu Pad Padashahi,V.D. Savarkar,"Savarkar, V.D.",Vinayak Damodar Savarkar,"=""""","=""""",5,4.38,,Kindle Edition,331,2016,2020,2020/10/22,2020/10/22,history,history (#13),read,A thrilling narrative - one of the most inspiring I've read.,,,1,,,0,,,,,
21296785,West Hunter,Henry Harpending,"Harpending, Henry",Gregory Cochran,"=""""","=""""",0,4.29,,Kindle Edition,287,2013,2013,,2020/06/08,"science, history","science (#18), history (#12)",read,,,,0,,,0,,,,,
20554775,ನಮ್ಮ ಊರಿನ ರಸಿಕರು,ಗೊರೂರು ರಾಮಸ್ವಾಮಿ ಅಯ್ಯಂಗಾರ್ (Goruru Ramaswamy Iyengar),"Iyengar), ಗೊರೂರು ರಾಮಸ್ವಾಮಿ ಅಯ್ಯಂಗಾರ್ (Goruru Ramaswamy",,"=""8189268287""","=""9788189268282""",5,4.03,ibh prakashana,Paperback,,2011,2011,,2020/04/12,"history, society-and-morals","history (#11), society-and-morals (#22)",read,,,,1,,,0,,,,,
746894,Physics Can Be Fun,Yakov Perelman,"Perelman, Yakov",,"=""0828534594""","=""9780828534598""",4,4.18,Imported Pubn,Hardcover,0,1987,1913,,2019/12/19,"science, math","science (#13), math (#10)",read,,,,1,,,0,,,,,
45428840,Festivals of Bharata,Sri Sri Rangapriya Sri Srih,"Srih, Sri Sri Rangapriya Sri","Prof. K.S. Sridharan, Dr. Hungi Eswara, Vishwanatha Sharma","=""""","=""""",4,4.00,Bharatha Samskruthi Prakashana,Kindle Edition,792,2019,,,2020/03/08,"atma-tattvam, mythology-प-र-ण-न","atma-tattvam (#36), mythology-प-र-ण-न (#7)",read,,,,1,,,0,,,,,
38042,The Last Shogun: The Life of Tokugawa Yoshinobu,Ryōtarō Shiba,"Shiba, Ryōtarō",Juliet Winters Carpenter,"=""1568363567""","=""9781568363561""",3,3.76,Kodansha America,Paperback,256,2004,1967,2020/03/08,2018/03/06,history,history (#3),read,,,,1,,,0,,,,,
27671893,The Odyssey by Homer: Rendered Into English Prose by Samuel Butler,Homer,"Homer, Homer",Samuel Butler,"=""1511658169""","=""9781511658164""",5,3.77,Createspace Independent Publishing Platform,Paperback,294,2015,-800,,2018/02/27,,,read,"An excellent introduction to the greek deva-s and the lives of our lost cousins. Full of vIrya, cunning, hospitality. How devI minerva assisted Ulysses and Telemachus, filling them with cleverness, beauty and strength! Episodes illustrate karma and karma-phala.<br/>",,,1,,,0,,,,,
20828260,The Odyssey (The Samuel Butler Prose Translation),Homer,"Homer, Homer",Samuel Butler,"=""""","=""""",5,3.77,Digireads.com,Kindle Edition,170,2009,-800,,2018/02/27,mythology-प-र-ण-न,mythology-प-र-ण-न (#2),read,,,,1,,,0,,,,,
7234685,Understand,Ted Chiang,"Chiang, Ted",,"=""""","=""""",5,4.23,BBC Radio 7,Audiobook,46,2006,2002,,2018/02/27,"personalities, science-fiction-and-fantasy","personalities (#4), science-fiction-and-fantasy (#124)",read," people receiving experimental neuro-regenerative drug become super-intelligent, and therefore beyond the control of society - two of them with distinct goals - understanding of everything vs planned progress of humanity, vie for dominance",,,1,,,0,,,,,
19879099,A Taste of Life: The Last Days of U.G. Krishnamurti,Mahesh Bhatt,"Bhatt, Mahesh",,"=""""","=""""",3,3.79,Penguin,Kindle Edition,171,2009,2009,,2018/02/27,atma-tattvam,atma-tattvam (#10),read,,,,1,,,0,,,,,
43621814,UG Krishnamurti: A Life,Mahesh Bhatt,"Bhatt, Mahesh",,"=""""","=""""",4,3.00,Penguin,Kindle Edition,,2018,,,2019/12/19,atma-tattvam,atma-tattvam (#35),read,,,,0,,,0,,,,,
6037467,The Courage to Stand Alone,U.G. Krishnamurti,"Krishnamurti, U.G.",,"=""""","=""""",5,4.23,,Kindle Edition,,,1997,,2019/12/19,atma-tattvam,atma-tattvam (#34),read,,,,1,,,0,,,,,
53529,No Way Out: Conversations with U.G. Krishnamurti,J.S.L.R. Narayana Moorty,"Moorty, J.S.L.R. Narayana","Antony Paul Frank Noronha, Sunita Pant Bansal, U.G. Krishnamurti","=""8187967080""","=""9788187967088""",5,4.57,Smriti Books,Paperback,194,2002,2002,,2019/12/19,atma-tattvam,atma-tattvam (#33),read,,,,1,,,0,,,,,
22097759,Mind is a Myth: Disquieting Conversations With the Man Called U.G.,Terry Newland,"Newland, Terry",,"=""""","=""""",5,4.89,Dinesh Publications,Paperback,,,,,2019/12/19,atma-tattvam,atma-tattvam (#32),read,,,,1,,,0,,,,,
53526,The Mystique of Enlightenment: The Radical Ideas of U.G. Krishnamurti,U.G. Krishnamurti,"Krishnamurti, U.G.",Rodney Arms,"=""0971078610""","=""9780971078611""",5,4.22,Sentient Publications,Paperback,159,2002,2002,,2019/12/19,atma-tattvam,atma-tattvam (#31),read,,,,1,,,0,,,,,
14743,The God Delusion,Richard Dawkins,"Dawkins, Richard",,"=""0618680004""","=""9780618680009""",1,3.89,Houghton Mifflin Co. (Boston/NY),Hardcover,374,2006,2006,,2019/12/19,atma-tattvam,atma-tattvam (#30),read,,,,1,,,0,,,,,
5847,India: A Wounded Civilization,V.S. Naipaul,"Naipaul, V.S.",,"=""1400030757""","=""9781400030750""",4,3.71,Vintage Books,Paperback,176,2003,1976,,2018/06/13,society-and-morals,society-and-morals (#19),read," Brilliant writing. a long, stern, damning, insightful stare at hindu culture and Indian society during the Emergency.<br/> <br/>",,,1,,,0,,,,,
74121,In Spite of the Gods: The Strange Rise of Modern India,Edward Luce,"Luce, Edward",,"=""0385514743""","=""9780385514743""",3,3.86,Doubleday,Hardcover,400,2007,2006,,2019/12/19,society-and-morals,society-and-morals (#21),read,,,,1,,,0,,,,,
993561,Survival Strategies: Cooperation and Conflict in Animal Societies,Raghavendra Gadagkar,"Gadagkar, Raghavendra",,"=""0674005570""","=""9780674005570""",5,4.33,Harvard University Press,Paperback,212,2001,1998,,2019/12/19,science,science (#17),read,"(The below is from 2006)<br/><br/>As a computer science student with a new-found interest in Biology, I found this book very useful and edifying. The monograph brought out the selfish gene, altruistic organism concept very well. In your explanation of the tit-for-tat and bourgeois strategies which have been so successful among living organisms, I found a gentle introduction to game theory. I was also surprised by thjis suggestion that wasps are intelligent enough to recognize other specific individuals, and to play politics. I especially liked the fact that you provided simple arithmetic to solidly support your points. Though the focus is on animal societies, I think your book should also have mentioned some other things like the importance of random variation in phenotypic expression (eg number of eyes in Drosophila flies). Besides being crisp and well written, it is also quite cheap and small in size. I have also had the privilege of recommending this book to my friends in the lay public (some of who try to elevate humans from animals) as an introduction into the evolutionary basis of cooperation and conflict in society.",,,1,,,0,,,,,
292079,Principles of Mathematical Analysis,Walter Rudin,"Rudin, Walter",,"=""0070856133""","=""9780070856134""",4,4.29,McGraw-Hill Publishing Company,Paperback,342,2006,1964,,2019/12/19,math,math (#21),read, 2009 course covered first 7 chapters.,,,1,,,0,,,,,
6380006,"Introduction to Linear Algebra, Fourth Edition",Gilbert Strang,"Strang, Gilbert",,"=""0980232716""","=""9780980232714""",5,4.25,Wellesley Cambridge Press,Hardcover,584,2009,1993,,2019/12/19,math,math (#20),read,Read 288 pages.,,,1,,,0,,,,,
2569666,Discrete Mathematical Structures,Bernard Kolman,"Kolman, Bernard","Sharon Cutler Ross, Robert C. Busby","=""0130831433""","=""9780130831439""",4,3.56,Prentice Hall,Hardcover,505,1999,1995,,2019/12/19,math,math (#19),read,,,,1,,,0,,,,,
49543531,Mathematical Analysis,A.F. Bermant,"Bermant, A.F.",I.G. Aramanovich,"=""""","=""""",4,4.00,,,,,,,2019/12/19,math,math (#18),read,(The first half done),,,2,,,0,,,,,
32284296,A School Geometry - H.S. Hall & F.H. Stevens,GKP,"GKP, GKP",,"=""9351448150""","=""9789351448150""",4,3.50,G.K. Publications Private Limited,Paperback,2016,2016,,,2019/12/19,math,math (#17),read,,,,1,,,0,,,,,
55881,Pattern Recognition and Machine Learning,Christopher M. Bishop,"Bishop, Christopher M.",,"=""0387310738""","=""9780387310732""",3,4.31,Springer,Hardcover,738,2011,2006,,2018/06/25,"science, math","science (#7), math (#16)",read,,,,1,,,0,,,,,
617100,Algorithmic Game Theory,Noam Nisan,"Nisan, Noam","Noam Nison, Tim Roughgarden, Éva Tardos","=""0521872820""","=""9780521872829""",4,4.22,Cambridge University Press,Hardcover,776,2007,2007,,2019/12/19,math,math (#15),read,,,,1,,,0,,,,,
1333865,An Introduction to Computational Learning Theory,Michael J. Kearns,"Kearns, Michael J.",,"=""0262111934""","=""9780262111935""",4,3.86,MIT Press,Hardcover,222,1994,1994,,2019/12/19,math,math (#14),read,,,,1,,,0,,,,,
486966,Probability and Computing: Randomized Algorithms and Probabilistic Analysis,Michael Mitzenmacher,"Mitzenmacher, Michael",,"=""0521835402""","=""9780521835404""",4,4.28,Cambridge University Press,Hardcover,370,2005,2005,,2018/06/25,math,math (#8),read,,,,0,,,0,,,,,
83940,An Introduction to Formal Language and Automata,Peter Linz,"Linz, Peter",,"=""0763737984""","=""9780763737986""",4,3.84,Jones & Bartlett Publishers,Hardcover,415,2006,1990,,2019/12/19,math,math (#13),read,,,,1,,,0,,,,,
2602291,Programming In Ansi C,E. Balagurusamy,"Balagurusamy, E.",,"=""0074604015""","=""9780074604014""",3,3.94,McGraw Hill Education India Pvt Ltd,Paperback,425,1992,1994,,2019/12/19,math,math (#12),read,,,,1,,,0,,,,,
25557080,Programming with Java,E. Balagurusamy,"Balagurusamy, E.",,"=""9351343200""","=""""",0,4.07,McGraw Hill Education (India) Private Limited,Paperback,480,2014,2014,,2019/12/19,math,math (#11),read,,,,0,,,0,,,,,
7816178,Understanding Chemistry,C.N.R. Rao,"Rao, C.N.R.",,"=""9812836039""","=""9789812836038""",4,4.52,World Scientific Publishing Company,Paperback,300,2009,2009,,2019/12/19,science,science (#16),read,,,,1,,,0,,,,,
409586,The Third Culture: Beyond the Scientific Revolution,John Brockman,"Brockman, John",,"=""0684823446""","=""9780684823447""",4,3.77,Touchstone,Paperback,416,1996,1995,,2019/12/19,science,science (#15),read,(Read all except part 3),,,1,,,0,,,,,
4810240,"Physics, Part I & II",Robert Resnick,"Resnick, Robert",David Halliday,"=""0471345245""","=""9780471345244""",5,4.22,John Wiley & Sons,Hardcover,1214,1966,1966,,2019/12/19,science,science (#14),read,,,,1,,,0,,,,,
1796756,"Fundamentals of Physics, Part 3",David Halliday,"Halliday, David","Jearl Walker, Robert Resnick","=""0470044772""","=""9780470044773""",4,3.79,John Wiley & Sons,Paperback,384,2007,,,2019/12/19,science,science (#12),read,Read the first 28.6 chapters. Something ot be devoured,,,2,,,0,,,,,
585361,Fundamentals of Physics: Part 2,David Halliday,"Halliday, David","Jearl Walker, Robert Resnick","=""0470044764""","=""9780470044766""",5,4.08,John Wiley & Sons,Paperback,560,2006,1994,,2019/12/19,science,science (#11),read,,,,1,,,0,,,,,
202489,"Fundamentals of Physics, Part 1 (Chapters 1-11)",David Halliday,"Halliday, David","Jearl Walker, Robert Resnick","=""0471429619""","=""9780471429616""",4,3.89,Wiley,Paperback,352,2003,1993,,2019/12/19,science,science (#10),read,,,,1,,,0,,,,,
6139392,The Sage and the Housewife,Shanta Kelker,"Kelker, Shanta",U.G. Krishnamurti,"=""""","=""""",5,4.20,,Kindle Edition,,,2005,,2019/12/19,atma-tattvam,atma-tattvam (#29),read,,,,1,,,0,,,,,
1303049,The Human Animal: A Personal View of the Human Species,Desmond Morris,"Morris, Desmond",,"=""0517700905""","=""9780517700907""",3,3.87,Crown,Hardcover,224,1994,1994,,2019/12/19,nayah,nayah (#4),read,,,,1,,,0,,,,,
55030,Cosmos,Carl Sagan,"Sagan, Carl",,"=""0375508325""","=""9780375508325""",4,4.37,Random House,Mass Market Paperback,384,2002,1980,,2019/12/19,science,science (#9),read,,,,1,,,0,,,,,
9822893,Bhagavadgītā,Krishna-Dwaipayana Vyasa,"Vyasa, Krishna-Dwaipayana","Anne-Marie Esnoul, Bianca Candian, Mario Piantelli","=""8845908518""","=""9788845908514""",4,4.13,Adelphi,Paperback,196,1994,-400,,2019/12/19,atma-tattvam,atma-tattvam (#28),read,,,,1,,,0,,,,,
325115,The Heart Sutra,Red Pine,"Pine, Red",,"=""1593760825""","=""9781593760823""",4,4.35,Counterpoint LLC,Paperback,201,2005,2001,,2019/12/19,atma-tattvam,atma-tattvam (#27),read,,,,1,,,0,,,,,
261463,The Platform Sutra of the Sixth Patriarch,Hui-Neng,"Hui-Neng, Hui-Neng","Philip B. Yampolsky, Fa-hai","=""0231083610""","=""9780231083614""",4,4.31,Columbia University Press,Paperback,212,1978,780,,2019/12/19,atma-tattvam,atma-tattvam (#26),read,,,,1,,,0,,,,,
45326230,The Gospel Of Buddha,Paul Caurs,"Caurs, Paul",,"=""1010225006""","=""9781010225003""",4,4.00,Wentworth Press,Hardcover,288,2019,,,2019/12/19,atma-tattvam,atma-tattvam (#25),read,,,,1,,,0,,,,,
12099935,"Buddha, the Word",Nyanatiloka,"Nyanatiloka, Nyanatiloka",,"=""1932681108""","=""9781932681109""",4,4.30,Nuvision Publications,ebook,69,2003,2003,,2019/12/19,atma-tattvam,atma-tattvam (#24),read,,,,1,,,0,,,,,
22839542,"Getting Off, A Portrait of an American Buddhist Monk",Samanera Bodhesako,"Bodhesako, Samanera",,"=""9460900054""","=""9789460900051""",4,4.00, Path Press Publications,Paperback,288,2012,2012,,2019/12/19,atma-tattvam,atma-tattvam (#23),read,,,,1,,,0,,,,,
7113943,The Autobiography of a Forest Monk,Ajahn Tate,"Tate, Ajahn",,"=""9748361705""","=""9789748361703""",4,3.79,Wat Hing Mark Peng,Paperback,314,1993,1993,,2019/12/19,atma-tattvam,atma-tattvam (#22),read,,,,1,,,0,,,,,
49540825,mystique of the abhidhamma,Bhante Sujato,"Sujato, Bhante",,"=""""","=""""",0,1.00,,,,,,,2019/12/19,atma-tattvam,atma-tattvam (#21),read,,,,0,,,0,,,,,
3171508,A History of Mindfulness,Bhikkhu Sujato,"Sujato, Bhikkhu",,"=""""","=""""",4,3.92,,,351,2005,2005,,2019/12/19,atma-tattvam,atma-tattvam (#20),read,,,,0,,,0,,,,,
10534,The Art of War,Sun Tzu,"Tzu, Sun","Thomas Cleary, Pulat Otkan","=""1590302257""","=""9781590302255""",4,3.97,Shambhala,Paperback,273,2005,-500,,2019/12/19,nayah,nayah (#3),read,,,,1,,,0,,,,,
64410,Galileo,Bertolt Brecht,"Brecht, Bertolt","Eric Bentley, Charles Laughton","=""0802130593""","=""9780802130594""",4,3.74,Grove Press,Paperback,155,1994,1943,,2019/12/19,"personalities, history","personalities (#9), history (#10)",read,,,,1,,,0,,,,,
154128,Glimpses of World History,Jawaharlal Nehru,"Nehru, Jawaharlal",,"=""0143031058""","=""9780143031055""",4,4.29,Penguin India,Paperback,1193,2004,1934,,2019/12/19,history,history (#9),read,,,,1,,,0,,,,,
1071995,Europe 101: History and Art for the Traveler,Rick Steves,"Steves, Rick",Gene Openshaw,"=""1562612468""","=""9781562612467""",0,4.31,John Muir Publication,Paperback,333,1996,1984,,2019/06/20,"currently-reading, history","currently-reading (#1), history (#8)",currently-reading,,,,1,,,0,,,,,
