Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-01-14,Life,2017,https://boxd.it/1Au19P,3.5,,surprising adaptations shown,,2021-01-14
2021-01-14,Children of Heaven,1997,https://boxd.it/1Au19Z,4.5,,"Bacheha-Ye aseman.
  After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",,2021-01-14
2021-01-14,Reservoir Dogs,1992,https://boxd.it/1Au1a9,5,,"a heist gone wrong due to a mole, varied responses to same situation from intelligent characters, surreal situations related non-linearly. this is art, 4/4.",,2021-01-14
2021-01-14,Pulp Fiction,1994,https://boxd.it/1Au1aj,5,,"much stylish violence, gripping dialogues from intelligent characters and surreal situations related non-linearly. this is art, 4/4.",,2021-01-14
2021-01-14,Jumanji,1995,https://boxd.it/1Au1at,5,,crazy dice game,,2021-01-14
2021-01-14,Hook,1991,https://boxd.it/1Au1aD,5,,peter pan and neverland,,2021-01-14
2021-01-14,Lost in Africa,2010,https://boxd.it/1Au1aN,5,,native tribesman avenging father in savanna with spear and lion,,2021-01-14
2021-01-14,The Rock,1996,https://boxd.it/1Au1aX,,,mi6 agent leads agents back to old prison,,2021-01-14
2021-01-14,Phone Booth,2002,https://boxd.it/1Au1b7,4,,sniper tries to teach man morals the hard way,,2021-01-14
2021-01-14,Gangs of New York,2002,https://boxd.it/1Au1bh,,,natives vs immigrants during civil war era.,,2021-01-14
2021-01-14,Rockstar,2011,https://boxd.it/1Au1br,,,stardom vs true self expression and love with great music.,,2021-01-14
2021-01-14,Three Fugitives,1989,https://boxd.it/1Au1bB,,,repentant kidnapper kidnapped by bungling burgler,,2021-01-14
2021-01-14,Legends of the Fall,1994,https://boxd.it/1Au1bL,5,,"3 sons of an disenchanted American general live with a Red Indian, one of which has an Red Indian way of being, go to WW1, two return, take wives they knew, one bootlegs,the Indian son has adventures, looses wife to gangsters, gets vengence, dies a good death hunting. The Indian son, who lives by his irrational heart is compelling due to lack of inner conflict experienced by his upstanding American sibling - for he understands vengence and disregards bad laws. 4/4.",,2021-01-14
2021-01-14,Teletubbies: Big Hug!,2004,https://boxd.it/1Au1cz,,,very cute.,,2021-01-14
2021-01-14,Toy Story,1995,https://boxd.it/1Au1cJ,1,,a kid's toys rescue each other from trouble.,,2021-01-14
2021-01-14,The Croods,2013,https://boxd.it/1Au1cT,1,,Caveman family who hate novelty and risk-taking change their mind after meeting an idea man.,,2021-01-14
2021-01-14,The General,1926,https://boxd.it/1Au1d3,,,A small team encounters strange interesting situations. It is interesting to see how the various characters interact and deal with them. There may be an overall arc concerning wars and battles.,,2021-01-14
2021-01-14,Inception,2010,https://boxd.it/1Au1dd,3.5,,"master who conspires to share dreams his team creates in order to steal information or plant ideas does a tough job with 3+1 dream levels, good fantasy adventure 4/4.",,2021-01-14
2021-01-14,The Adventures of Pluto Nash,2002,https://boxd.it/1Au1dn,3.5,,"moon enterpreuner, gf and robot face evil clone",,2021-01-14
2021-01-14,Ski The Outer Limits,1969,https://boxd.it/1Au1dR,5,,4/4. self-contained suspenseful stories -with some lessons.,,2021-01-14
